movie_name,Box Office India,Genre1,Genre3,movie_director,actor1,actor2,actor3
Aiyaary,17.79,Action, Thriller,Neeraj Pandey,ÊSiddharth Malhotra , Manoj Bajpai, Rakul Preet
Pad Man,80,Comedy,,R. Balki,ÊAkshay Kumar , Radhika Apte, Sonam Kapoor
Padmaavat,300.26,Historical Drama, Action,Sanjay Leela Bhansali,ÊDeepika Padukone , Shahid Kapoor, Ranveer Singh
1921,15.67,Horror,,Vikram Bhatt,ÊZarine Khan , Karan Kundra, Vikram Bhatt
Kaalakaandi,5.77,Drama,,Akshat Verma,ÊSaif Ali Khan , Sobhita Dhulipala, Akshay Oberoi
Mukkabaaz,8.87,Drama, Sports,Anurag Kashyap,ÊVineet Kumar Singh , Zoya Hussain, Jimmy Shergill
Tiger Zinda Hai,339.16,Action, Thriller,Ali Abbas Zafar,ÊSalman Khan , Katrina Kaif, Sajjad Delafrooz
Fukrey Returns,80.13,Comedy,,Mrigdeep Singh Lamba,ÊRicha Chadda , Pulkit Samrat, Varun Sharma
Firangi,9.5,Comedy,,Rajiev Dhingra,ÊKapil Sharma , Ishita Dutta, Monica Gill
Tumhari Sulu,34.14,Comedy, Drama,Suresh Triveni,ÊVidya Balan , Manav Kaul, Neha Dhupia
Aksar 2,5.6,Thriller,,Anant Mahadevan,ÊZarine Khan , Gautam Rode, Abhinav Shukla
Qarib Qarib Singlle,12.15,Comedy, Romance,Tanuja Chandra,ÊIrrfan Khan , Parvathy, Neha Dhupia
Ittefaq,27.4,Thriller,,Abhay Chopra,ÊSiddharth Malhotra , Sonakshi Sinha, Akshaye Khanna
Golmaal Again,205.52,Comedy,,Rohit Shetty,ÊAjay Devgn , Parineeti Chopra, Arshad Warsi
Secret Superstar,59.34,, Musical,Advait Chandan,ÊZaira Wasim , Meher Vij, Raj Arjun
Chef,6.37,Drama,,Raja Krishna Menon,ÊSaif Ali Khan , Padmapriya, Svar Kamble
Judwaa 2,138.47,Comedy,,David Dhawan,ÊVarun Dhawan , Jacqueline Fernandez, Taapsee Pannu
Newton,22.79,Comedy, Drama,Amit Masurkar,ÊRajkummar Rao , Pankaj Tripathi, Anjali Patil
Bhoomi,10.63,Drama,,Omung Kumar,ÊSanjay Dutt , Aditi Rao Hydari, Sharad Kelkar
Haseena Parkar,8.03,Biographical, Crime,Apoorva Lakhia,ÊShraddha Kapoor , Siddhanth Kapoor, Ankur Bhatia
Lucknow Central,11.2,Thriller,,Ranjit Tiwari,ÊFarhan Akhtar , Diana Penty, Deepak Dobriyal
Simran,17.26,Drama,,Hansal Mehta,ÊKangana Ranaut , Sohum Shah, Rupinder Nagra
Poster Boys,12.73,Comedy,,Shreyas Talpade,ÊSunny Deol , Bobby Deol, Shreyas Talpade
